service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2005,1,1,1,1,1,1,1,20140623,20141213
2002,1,1,1,1,1,1,1,20140623,20141213
2001,1,1,1,1,1,1,1,20140623,20141213
2000,1,1,1,1,1,1,1,20140623,20141213
1999,1,1,1,1,1,1,1,20140623,20141213
1997,1,1,1,1,1,1,1,20140623,20141213
458,1,1,1,1,1,1,1,20140623,20141213
420,1,1,1,1,1,1,1,20140623,20141213
419,1,1,1,1,1,1,1,20140623,20141213
418,1,1,1,1,1,1,1,20140623,20141213
1185,1,1,1,1,1,1,1,20140623,20141213
1184,1,1,1,1,1,1,1,20140623,20141213
415,1,1,1,1,1,1,1,20140623,20141213
1182,1,1,1,1,1,1,1,20140623,20141213
413,1,1,1,1,1,1,1,20140623,20141213
409,1,1,1,1,1,1,1,20140623,20141213
405,1,1,1,1,1,1,1,20140623,20141213
403,1,1,1,1,1,1,1,20140623,20141213
1937,1,1,1,1,1,1,1,20140623,20141213
1935,1,1,1,1,1,1,1,20140623,20141213
393,1,1,1,1,1,1,1,20140623,20141213
387,1,1,1,1,1,1,1,20140623,20141213
385,1,1,1,1,1,1,1,20140623,20141213
384,1,1,1,1,1,1,1,20140623,20141213
383,1,1,1,1,1,1,1,20140623,20141213
376,1,1,1,1,1,1,1,20140623,20141213
370,1,1,1,1,1,1,1,20140623,20141213
367,1,1,1,1,1,1,1,20140623,20141213
366,1,1,1,1,1,1,1,20140623,20141213
362,1,1,1,1,1,1,1,20140623,20141213
361,1,1,1,1,1,1,1,20140623,20141213
357,1,1,1,1,1,1,1,20140623,20141213
355,1,1,1,1,1,1,1,20140623,20141213
354,1,1,1,1,1,1,1,20140623,20141213
352,1,1,1,1,1,1,1,20140623,20141213
351,1,1,1,1,1,1,1,20140623,20141213
349,1,1,1,1,1,1,1,20140623,20141213
348,1,1,1,1,1,1,1,20140623,20141213
342,1,1,1,1,1,1,1,20140623,20141213
340,1,1,1,1,1,1,1,20140623,20141213
338,1,1,1,1,1,1,1,20140623,20141213
337,1,1,1,1,1,1,1,20140623,20141213
334,1,1,1,1,1,1,1,20140623,20141213
332,1,1,1,1,1,1,1,20140623,20141213
330,1,1,1,1,1,1,1,20140623,20141213
328,1,1,1,1,1,1,1,20140623,20141213
327,1,1,1,1,1,1,1,20140623,20141213
326,1,1,1,1,1,1,1,20140623,20141213
324,1,1,1,1,1,1,1,20140623,20141213
322,1,1,1,1,1,1,1,20140623,20141213
304,1,1,1,1,1,1,1,20140623,20141213
1838,1,1,1,1,1,1,1,20140623,20141213
303,1,1,1,1,1,1,1,20140623,20141213
1837,1,1,1,1,1,1,1,20140623,20141213
300,1,1,1,1,1,1,1,20140623,20141213
297,1,1,1,1,1,1,1,20140623,20141213
296,1,1,1,1,1,1,1,20140623,20141213
294,1,1,1,1,1,1,1,20140623,20141213
291,1,1,1,1,1,1,1,20140623,20141213
289,1,1,1,1,1,1,1,20140623,20141213
288,1,1,1,1,1,1,1,20140623,20141213
282,1,1,1,1,1,1,1,20140623,20141213
281,1,1,1,1,1,1,1,20140623,20141213
1805,1,1,1,1,1,1,1,20140623,20141213
1780,1,1,1,1,1,1,1,20140623,20141213
1768,1,1,1,1,1,1,1,20140623,20141213
1758,1,1,1,1,1,1,1,20140623,20141213
1754,1,1,1,1,1,1,1,20140623,20141213
1752,1,1,1,1,1,1,1,20140623,20141213
1748,1,0,1,0,0,0,0,20140623,20141213
1747,1,0,0,0,0,0,1,20140623,20141213
1743,1,0,0,0,1,0,0,20140623,20141213
1740,1,1,1,1,1,1,1,20140623,20141213
1734,1,1,1,1,1,1,1,20140623,20141213
1727,1,1,0,1,0,0,0,20140623,20141213
191,1,1,1,1,1,1,1,20140623,20141213
190,1,1,1,1,1,1,1,20140623,20141213
189,1,1,1,1,1,1,1,20140623,20141213
1722,1,1,1,1,1,1,1,20140623,20141213
186,1,1,1,1,1,1,1,20140623,20141213
949,1,1,1,1,1,1,1,20140623,20141213
2472,1,1,1,1,1,1,1,20140623,20141213
2469,1,1,1,1,1,1,1,20140623,20141213
1702,1,0,0,1,1,0,0,20140623,20141213
2468,1,1,1,1,1,1,1,20140623,20141213
1701,1,1,1,1,1,1,1,20140623,20141213
2467,1,1,1,1,1,1,1,20140623,20141213
158,1,1,1,1,1,1,1,20140623,20141213
1690,1,1,1,1,1,1,1,20140623,20141213
152,1,1,1,1,1,1,1,20140623,20141213
146,1,1,1,1,1,1,1,20140623,20141213
145,1,1,1,1,1,1,1,20140623,20141213
141,1,1,1,1,1,1,1,20140623,20141213
140,0,0,0,0,1,0,0,20140623,20141213
2440,0,0,0,0,1,1,0,20140623,20141213
139,1,1,1,1,1,1,1,20140623,20141213
138,1,1,1,1,1,1,1,20140623,20141213
2438,1,1,1,1,1,1,1,20140623,20141213
137,1,1,1,1,1,1,1,20140623,20141213
2437,1,1,1,1,1,1,1,20140623,20141213
136,1,1,1,1,1,1,1,20140623,20141213
1670,1,1,1,1,1,1,1,20140623,20141213
2436,1,1,1,1,1,1,1,20140623,20141213
135,1,1,1,1,1,1,1,20140623,20141213
2435,1,1,1,1,1,1,1,20140623,20141213
134,1,1,1,1,1,1,1,20140623,20141213
133,1,1,1,1,1,1,1,20140623,20141213
2433,1,1,1,1,1,1,1,20140623,20141213
2432,1,1,1,1,1,1,1,20140623,20141213
2431,1,1,1,1,0,1,1,20140623,20141213
129,1,1,1,1,1,1,1,20140623,20141213
2429,1,1,1,1,1,1,1,20140623,20141213
2428,1,1,1,1,1,1,1,20140623,20141213
127,1,1,1,1,1,1,1,20140623,20141213
894,1,1,1,1,1,1,1,20140623,20141213
1661,0,0,0,0,1,1,1,20140623,20141213
124,1,1,1,1,1,1,1,20140623,20141213
2424,1,1,1,1,1,1,1,20140623,20141213
2423,1,1,1,1,1,1,1,20140623,20141213
121,1,1,1,1,1,1,1,20140623,20141213
2421,1,1,1,1,1,1,1,20140623,20141213
2420,1,1,1,1,1,1,1,20140623,20141213
886,1,1,1,1,1,1,1,20140623,20141213
885,1,1,1,1,1,1,1,20140623,20141213
117,1,1,1,1,1,1,1,20140623,20141213
114,1,1,1,1,1,1,1,20140623,20141213
881,1,1,1,1,1,1,1,20140623,20141213
1648,1,1,1,1,1,1,1,20140623,20141213
112,1,1,1,1,1,1,1,20140623,20141213
1646,1,0,0,0,0,0,0,20140623,20141213
111,1,1,1,1,1,1,1,20140623,20141213
109,1,1,1,1,1,1,1,20140623,20141213
105,1,1,1,1,1,1,1,20140623,20141213
104,1,1,1,1,1,1,1,20140623,20141213
102,1,1,1,1,1,1,1,20140623,20141213
2398,1,1,1,1,1,1,1,20140623,20141213
1630,1,1,1,1,1,1,1,20140623,20141213
1629,1,1,1,1,1,1,1,20140623,20141213
94,1,1,1,1,1,1,1,20140623,20141213
92,1,1,1,1,1,1,1,20140623,20141213
1625,1,1,1,1,1,1,1,20140623,20141213
90,1,1,1,1,1,1,1,20140623,20141213
89,1,1,1,1,1,1,1,20140623,20141213
88,1,1,1,1,1,1,1,20140623,20141213
87,1,1,1,1,1,1,1,20140623,20141213
86,1,1,1,1,1,1,1,20140623,20141213
85,1,1,1,1,1,1,1,20140623,20141213
84,1,1,1,1,1,1,1,20140623,20141213
83,1,1,1,1,1,1,1,20140623,20141213
850,1,1,1,1,1,1,1,20140623,20141213
82,1,1,1,1,1,1,1,20140623,20141213
1616,1,1,1,1,1,1,1,20140623,20141213
81,1,1,1,1,1,1,1,20140623,20141213
80,1,1,1,1,1,1,1,20140623,20141213
79,1,1,1,1,1,1,1,20140623,20141213
78,1,1,1,1,1,1,1,20140623,20141213
77,1,1,1,1,1,1,1,20140623,20141213
75,1,1,1,1,1,1,1,20140623,20141213
74,1,1,1,1,1,1,1,20140623,20141213
73,1,1,1,1,1,1,1,20140623,20141213
72,1,1,1,1,1,1,1,20140623,20141213
71,1,1,1,1,1,1,1,20140623,20141213
70,0,0,0,0,0,1,1,20140623,20141213
69,1,1,1,1,1,1,1,20140623,20141213
68,1,1,1,1,1,1,1,20140623,20141213
67,1,1,1,1,1,1,1,20140623,20141213
66,1,1,1,1,1,1,1,20140623,20141213
65,1,1,1,1,1,1,1,20140623,20141213
64,1,1,1,1,1,1,1,20140623,20141213
63,1,1,1,1,1,1,1,20140623,20141213
2363,1,1,1,1,1,1,1,20140623,20141213
62,1,1,1,1,1,1,1,20140623,20141213
2362,1,1,1,1,1,1,1,20140623,20141213
61,1,1,1,1,1,1,1,20140623,20141213
60,1,1,1,1,1,1,1,20140623,20141213
2360,1,1,1,1,1,1,1,20140623,20141213
59,1,1,1,1,1,1,1,20140623,20141213
58,1,1,1,1,1,1,1,20140623,20141213
56,1,1,1,1,1,1,1,20140623,20141213
55,1,1,1,1,1,1,1,20140623,20141213
50,1,1,1,1,1,1,1,20140623,20141213
2349,1,1,1,1,1,1,1,20140623,20141213
2348,1,1,1,1,1,1,1,20140623,20141213
2347,1,1,1,1,1,1,1,20140623,20141213
2346,1,1,1,1,1,1,1,20140623,20141213
43,1,1,1,1,1,1,1,20140623,20141213
42,1,1,1,1,1,1,1,20140623,20141213
1575,0,0,1,0,0,0,0,20140623,20141213
38,1,1,1,1,1,1,1,20140623,20141213
2338,1,1,1,1,1,1,1,20140623,20141213
37,1,1,1,1,1,1,1,20140623,20141213
1570,0,1,1,0,1,0,0,20140623,20141213
2336,1,1,1,1,1,1,1,20140623,20141213
35,1,1,1,1,1,1,1,20140623,20141213
1569,0,1,1,1,1,1,0,20140623,20141213
2335,1,1,1,1,1,1,1,20140623,20141213
34,1,1,1,1,1,1,1,20140623,20141213
1568,0,0,0,1,0,0,0,20140623,20141213
1567,0,1,0,0,0,0,0,20140623,20141213
2333,1,1,1,1,1,1,1,20140623,20141213
1566,1,0,1,0,1,0,0,20140623,20141213
2332,1,1,1,1,1,1,1,20140623,20141213
1565,0,1,1,0,0,0,0,20140623,20141213
2331,1,1,1,1,1,1,1,20140623,20141213
30,1,1,1,1,0,0,0,20140623,20141213
1564,1,0,0,1,0,0,0,20140623,20141213
2330,1,1,1,1,1,1,1,20140623,20141213
2329,1,1,1,1,1,1,1,20140623,20141213
2328,1,1,1,1,1,1,1,20140623,20141213
27,0,0,0,1,1,0,0,20140623,20141213
2327,1,1,1,1,1,1,1,20140623,20141213
2326,1,1,1,1,1,1,1,20140623,20141213
2325,1,1,1,1,1,1,1,20140623,20141213
2324,1,1,1,1,1,1,1,20140623,20141213
2323,1,1,1,1,1,1,1,20140623,20141213
2321,1,1,1,1,1,1,1,20140623,20141213
1554,1,1,1,1,1,1,1,20140623,20141213
19,1,1,1,1,1,1,0,20140623,20141213
16,0,0,0,0,0,1,0,20140623,20141213
12,1,1,1,1,1,1,1,20140623,20141213
779,1,0,1,1,1,0,0,20140623,20141213
10,1,1,1,1,1,1,1,20140623,20141213
9,1,1,1,1,1,1,1,20140623,20141213
6,0,0,0,0,0,0,1,20140623,20141213
4,1,1,1,1,1,0,0,20140623,20141213
1,1,1,1,1,1,0,1,20140623,20141213
0,1,1,1,1,1,1,1,20140623,20141213
